id_penjualan,id_invoice,id_customer,id_barang,tanggal,month,id_distributor,customer,cabang_sales,group,nama_barang,brand,harga,jumlah_barang,total_harga
IN6023-BRG0006,IN6023,CUST55399,BRG0006,2022-02-01,2,TD,KLINIK SAHABAT,Tangerang,Klinik,KETOCONAZOLE TABLET 200 MG,OGB & PH,39000,10,390000
IN6023-BRG0004,IN6023,CUST55399,BRG0004,2022-02-01,2,TD,KLINIK SAHABAT,Tangerang,Klinik,TRAMADOL KAPSUL 50 MG,VNS,24500,10,245000
IN6023-BRG0008,IN6023,CUST55399,BRG0008,2022-02-01,2,TD,KLINIK SAHABAT,Tangerang,Klinik,TETRACYCLINE KAPSUL 250 MG,MARCKS,9800,10,98000
IN6023-BRG0007,IN6023,CUST55399,BRG0007,2022-02-01,2,TD,KLINIK SAHABAT,Tangerang,Klinik,ERGOTAMINE COFFEINE,ETIKAL,64700,10,647000
IN6023-BRG0010,IN6023,CUST55399,BRG0010,2022-02-01,2,TD,KLINIK SAHABAT,Tangerang,Klinik,PARACETAMOL,SLCYL,21000,15,315000
IN6024-BRG0007,IN6024,CUST55394,BRG0007,2022-01-27,1,TD,KLINIK DR. ANDRI,Lampung,Klinik,ERGOTAMINE COFFEINE,ETIKAL,64700,8,517600
IN6024-BRG0004,IN6024,CUST55394,BRG0004,2022-01-27,1,TD,KLINIK DR. ANDRI,Lampung,Klinik,TRAMADOL KAPSUL 50 MG,VNS,24500,12,294000
IN6024-BRG0008,IN6024,CUST55394,BRG0008,2022-01-27,1,TD,KLINIK DR. ANDRI,Lampung,Klinik,TETRACYCLINE KAPSUL 250 MG,MARCKS,9800,12,117600
IN6024-BRG0010,IN6024,CUST55394,BRG0010,2022-01-27,1,TD,KLINIK DR. ANDRI,Lampung,Klinik,PARACETAMOL,SLCYL,21000,16,336000
IN6024-BRG0005,IN6024,CUST55394,BRG0005,2022-01-27,1,TD,KLINIK DR. ANDRI,Lampung,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,12,564000
IN6024-BRG0001,IN6024,CUST55394,BRG0001,2022-01-27,1,TD,KLINIK DR. ANDRI,Lampung,Klinik,ACYCLOVIR DUS,OGB & PH,96000,4,384000
IN6024-BRG0006,IN6024,CUST55394,BRG0006,2022-01-27,1,TD,KLINIK DR. ANDRI,Lampung,Klinik,KETOCONAZOLE TABLET 200 MG,OGB & PH,39000,12,468000
IN6025-BRG0004,IN6025,CUST55523,BRG0004,2022-01-30,1,TA,APOTEK MAJA,Kuningan,Apotek,TRAMADOL KAPSUL 50 MG,VNS,24500,7,171500
IN6026-BRG0003,IN6026,CUST55558,BRG0003,2022-02-16,2,EPM,APOTEK SAHABAT,Padang,Apotek,AMPICILLIN,MARCKS,17000,21,357000
IN6027-BRG0003,IN6027,CUST55612,BRG0003,2022-04-11,4,EPM,APOTEK TAPAK,Aceh,Apotek,AMPICILLIN,MARCKS,17000,10,170000
IN6028-BRG0002,IN6028,CUST55420,BRG0002,2022-01-30,1,TA,APOTEK MERDEKA,Bandung,Apotek,ALERGINE TABLET SALUT,ETIKAL,112000,5,560000
IN6028-BRG0010,IN6028,CUST55420,BRG0010,2022-01-30,1,TA,APOTEK MERDEKA,Bandung,Apotek,PARACETAMOL,SLCYL,21000,78,1638000
IN6028-BRG0004,IN6028,CUST55420,BRG0004,2022-01-30,1,TA,APOTEK MERDEKA,Bandung,Apotek,TRAMADOL KAPSUL 50 MG,VNS,24500,8,196000
IN6028-BRG0006,IN6028,CUST55420,BRG0006,2022-01-30,1,TA,APOTEK MERDEKA,Bandung,Apotek,KETOCONAZOLE TABLET 200 MG,OGB & PH,39000,10,390000
IN6028-BRG0009,IN6028,CUST55420,BRG0009,2022-01-30,1,TA,APOTEK MERDEKA,Bandung,Apotek,AMBROXOL HC,VNS,31000,67,2077000
IN6028-BRG0001,IN6028,CUST55420,BRG0001,2022-01-30,1,TA,APOTEK MERDEKA,Bandung,Apotek,ACYCLOVIR DUS,OGB & PH,96000,98,9408000
IN6028-BRG0001,IN6028,CUST55420,BRG0001,2022-01-23,1,TA,APOTEK MERDEKA,Bandung,Apotek,ACYCLOVIR DUS,OGB & PH,96000,98,9408000
IN6028-BRG0003,IN6028,CUST55420,BRG0003,2022-01-30,1,TA,APOTEK MERDEKA,Bandung,Apotek,AMPICILLIN,MARCKS,17000,4,68000
IN6028-BRG0007,IN6028,CUST55420,BRG0007,2022-01-30,1,TA,APOTEK MERDEKA,Bandung,Apotek,ERGOTAMINE COFFEINE,ETIKAL,64700,7,452900
IN6028-BRG0005,IN6028,CUST55420,BRG0005,2022-01-30,1,TA,APOTEK MERDEKA,Bandung,Apotek,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,9,423000
IN6028-BRG0008,IN6028,CUST55420,BRG0008,2022-01-30,1,TA,APOTEK MERDEKA,Bandung,Apotek,TETRACYCLINE KAPSUL 250 MG,MARCKS,9800,100,980000
IN6029-BRG0009,IN6029,CUST55389,BRG0009,2022-01-28,1,TA,KLINIK GM,Jakarta,Klinik,AMBROXOL HC,VNS,31000,18,558000
IN6029-BRG0005,IN6029,CUST55389,BRG0005,2022-01-28,1,TA,KLINIK GM,Jakarta,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,7,329000
IN6029-BRG0008,IN6029,CUST55389,BRG0008,2022-01-28,1,TA,KLINIK GM,Jakarta,Klinik,TETRACYCLINE KAPSUL 250 MG,MARCKS,9800,8,78400
IN6029-BRG0010,IN6029,CUST55389,BRG0010,2022-01-28,1,TA,KLINIK GM,Jakarta,Klinik,PARACETAMOL,SLCYL,21000,4,84000
IN6029-BRG0006,IN6029,CUST55389,BRG0006,2022-01-28,1,TA,KLINIK GM,Jakarta,Klinik,KETOCONAZOLE TABLET 200 MG,OGB & PH,39000,7,273000
IN6029-BRG0010,IN6029,CUST55389,BRG0010,2022-01-28,1,TA,KLINIK GM,Jakarta,Klinik,PARACETAMOL,SLCYL,21000,20,420000
IN6029-BRG0003,IN6029,CUST55389,BRG0003,2022-01-28,1,TA,KLINIK GM,Jakarta,Klinik,AMPICILLIN,MARCKS,17000,5,85000
IN6029-BRG0001,IN6029,CUST55389,BRG0001,2022-01-28,1,TA,KLINIK GM,Jakarta,Klinik,ACYCLOVIR DUS,OGB & PH,96000,1,96000
IN6029-BRG0007,IN6029,CUST55389,BRG0007,2022-01-28,1,TA,KLINIK GM,Jakarta,Klinik,ERGOTAMINE COFFEINE,ETIKAL,64700,14,905800
IN6029-BRG0004,IN6029,CUST55389,BRG0004,2022-01-28,1,TA,KLINIK GM,Jakarta,Klinik,TRAMADOL KAPSUL 50 MG,VNS,24500,7,171500
IN6030-BRG0004,IN6030,CUST55709,BRG0004,2022-05-01,5,TD,KLINIK DR. ANDRI,Lampung,Klinik,TRAMADOL KAPSUL 50 MG,VNS,24500,10,245000
IN6031-BRG0001,IN6031,CUST55616,BRG0001,2022-04-15,4,TD,KLINIK SAHABAT,Tangerang,Klinik,ACYCLOVIR DUS,OGB & PH,96000,4,384000
IN6032-BRG0004,IN6032,CUST55679,BRG0004,2022-06-03,6,TD,KLINIK DR. ANDRI,Lampung,Klinik,TRAMADOL KAPSUL 50 MG,VNS,24500,23,563500
IN6033-BRG0009,IN6033,CUST55688,BRG0009,2022-06-12,6,TA,APOTEK MAJA,Kuningan,Apotek,AMBROXOL HC,VNS,31000,34,1054000
IN6034-BRG0003,IN6034,CUST55562,BRG0003,2022-02-20,2,TA,KLINIK GM,Jakarta,Klinik,AMPICILLIN,MARCKS,17000,14,238000
IN6035-BRG0007,IN6035,CUST55626,BRG0007,2022-04-25,4,EPM,APOTEK SAHABAT,Padang,Apotek,ERGOTAMINE COFFEINE,ETIKAL,64700,20,1294000
IN6036-BRG0010,IN6036,CUST55388,BRG0010,2022-01-27,1,TA,APOTEK MAJA,Kuningan,Apotek,PARACETAMOL,SLCYL,21000,10,210000
IN6036-BRG0009,IN6036,CUST55388,BRG0009,2022-01-27,1,TA,APOTEK MAJA,Kuningan,Apotek,AMBROXOL HC,VNS,31000,23,713000
IN6036-BRG0004,IN6036,CUST55388,BRG0004,2022-01-27,1,TA,APOTEK MAJA,Kuningan,Apotek,TRAMADOL KAPSUL 50 MG,VNS,24500,12,294000
IN6036-BRG0003,IN6036,CUST55388,BRG0003,2022-01-27,1,TA,APOTEK MAJA,Kuningan,Apotek,AMPICILLIN,MARCKS,17000,15,255000
IN6036-BRG0009,IN6036,CUST55388,BRG0009,2022-01-27,1,TA,APOTEK MAJA,Kuningan,Apotek,AMBROXOL HC,VNS,31000,22,682000
IN6037-BRG0002,IN6037,CUST55721,BRG0002,2022-05-03,5,TD,KLINIK SAHABAT,Tangerang,Klinik,ALERGINE TABLET SALUT,ETIKAL,112000,45,5040000
IN6038-BRG0008,IN6038,CUST55517,BRG0008,2022-01-30,1,TA,KLINIK GM,Jakarta,Klinik,TETRACYCLINE KAPSUL 250 MG,MARCKS,9800,98,960400
IN6039-BRG0001,IN6039,CUST55480,BRG0001,2022-01-23,1,TA,APOTEK MERDEKA,Bandung,Apotek,ACYCLOVIR DUS,OGB & PH,96000,13,1248000
IN6040-BRG0001,IN6040,CUST55470,BRG0001,2022-01-31,1,EPM,APOTEK TAPAK,Aceh,Apotek,ACYCLOVIR DUS,OGB & PH,96000,10,960000
IN6041-BRG0001,IN6041,CUST55570,BRG0001,2022-02-28,2,TA,APOTEK MERDEKA,Bandung,Apotek,ACYCLOVIR DUS,OGB & PH,96000,5,480000
IN6042-BRG0009,IN6042,CUST55428,BRG0009,2022-01-31,1,TA,APOTEK MERDEKA,Bandung,Apotek,AMBROXOL HC,VNS,31000,67,2077000
IN6043-BRG0001,IN6043,CUST55580,BRG0001,2022-03-10,3,TA,APOTEK SINAR JAYA,Bekasi,Apotek,ACYCLOVIR DUS,OGB & PH,96000,9,864000
IN6044-BRG0005,IN6044,CUST55694,BRG0005,2022-05-01,5,TD,KLINIK DR. ANDRI,Lampung,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,18,846000
IN6045-BRG0007,IN6045,CUST55506,BRG0007,2022-01-31,1,EPM,APOTEK SAHABAT,Padang,Apotek,ERGOTAMINE COFFEINE,ETIKAL,64700,21,1358700
IN6046-BRG0002,IN6046,CUST55691,BRG0002,2022-06-15,6,TD,KLINIK SAHABAT,Tangerang,Klinik,ALERGINE TABLET SALUT,ETIKAL,112000,12,1344000
IN6047-BRG0006,IN6047,CUST55635,BRG0006,2022-04-26,4,EPM,APOTEK TAPAK,Aceh,Apotek,KETOCONAZOLE TABLET 200 MG,OGB & PH,39000,12,468000
IN6048-BRG0005,IN6048,CUST55464,BRG0005,2022-01-31,1,TA,KLINIK GM,Jakarta,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,25,1175000
IN6049-BRG0010,IN6049,CUST55479,BRG0010,2022-01-28,1,TA,KLINIK GM,Jakarta,Klinik,PARACETAMOL,SLCYL,21000,9,189000
IN6050-BRG0005,IN6050,CUST55434,BRG0005,2022-01-31,1,TA,KLINIK GM,Jakarta,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,34,1598000
IN6051-BRG0004,IN6051,CUST55593,BRG0004,2022-03-23,3,TA,APOTEK MERDEKA,Bandung,Apotek,TRAMADOL KAPSUL 50 MG,VNS,24500,15,367500
IN6052-BRG0006,IN6052,CUST55385,BRG0006,2022-01-23,1,TA,APOTEK SINAR JAYA,Bekasi,Apotek,KETOCONAZOLE TABLET 200 MG,OGB & PH,39000,5,195000
IN6052-BRG0010,IN6052,CUST55385,BRG0010,2022-01-23,1,TA,APOTEK SINAR JAYA,Bekasi,Apotek,PARACETAMOL,SLCYL,21000,5,105000
IN6052-BRG0009,IN6052,CUST55385,BRG0009,2022-01-23,1,TA,APOTEK SINAR JAYA,Bekasi,Apotek,AMBROXOL HC,VNS,31000,5,155000
IN6053-BRG0002,IN6053,CUST55437,BRG0002,2022-01-28,1,TA,APOTEK SINAR JAYA,Bekasi,Apotek,ALERGINE TABLET SALUT,ETIKAL,112000,44,4928000
IN6054-BRG0006,IN6054,CUST55435,BRG0006,2022-02-01,2,TA,APOTEK MERDEKA,Bandung,Apotek,KETOCONAZOLE TABLET 200 MG,OGB & PH,39000,34,1326000
IN6055-BRG0004,IN6055,CUST55583,BRG0004,2022-03-13,3,TA,APOTEK MAJA,Kuningan,Apotek,TRAMADOL KAPSUL 50 MG,VNS,24500,4,98000
IN6056-BRG0002,IN6056,CUST55621,BRG0002,2022-04-20,4,TA,APOTEK MAJA,Kuningan,Apotek,ALERGINE TABLET SALUT,ETIKAL,112000,100,11200000
IN6057-BRG0003,IN6057,CUST55648,BRG0003,2022-05-17,5,EPM,APOTEK SAHABAT,Padang,Apotek,AMPICILLIN,MARCKS,17000,10,170000
IN6058-BRG0003,IN6058,CUST55532,BRG0003,2022-01-27,1,TA,KLINIK GM,Jakarta,Klinik,AMPICILLIN,MARCKS,17000,34,578000
IN6059-BRG0004,IN6059,CUST55683,BRG0004,2022-06-07,6,TA,APOTEK MERDEKA,Bandung,Apotek,TRAMADOL KAPSUL 50 MG,VNS,24500,11,269500
IN6060-BRG0004,IN6060,CUST55543,BRG0004,2022-02-01,2,EPM,APOTEK SAHABAT,Padang,Apotek,TRAMADOL KAPSUL 50 MG,VNS,24500,22,539000
IN6061-BRG0007,IN6061,CUST55566,BRG0007,2022-02-24,2,EPM,APOTEK SAHABAT,Padang,Apotek,ERGOTAMINE COFFEINE,ETIKAL,64700,12,776400
IN6062-BRG0001,IN6062,CUST55490,BRG0001,2022-01-27,1,TA,APOTEK SINAR JAYA,Bekasi,Apotek,ACYCLOVIR DUS,OGB & PH,96000,12,1152000
IN6063-BRG0010,IN6063,CUST55417,BRG0010,2022-02-01,2,EPM,APOTEK TAPAK,Aceh,Apotek,PARACETAMOL,SLCYL,21000,67,1407000
IN6063-BRG0007,IN6063,CUST55417,BRG0007,2022-02-01,2,EPM,APOTEK TAPAK,Aceh,Apotek,ERGOTAMINE COFFEINE,ETIKAL,64700,23,1488100
IN6063-BRG0001,IN6063,CUST55417,BRG0001,2022-02-01,2,EPM,APOTEK TAPAK,Aceh,Apotek,ACYCLOVIR DUS,OGB & PH,96000,12,1152000
IN6063-BRG0008,IN6063,CUST55417,BRG0008,2022-02-01,2,EPM,APOTEK TAPAK,Aceh,Apotek,TETRACYCLINE KAPSUL 250 MG,MARCKS,9800,12,117600
IN6063-BRG0002,IN6063,CUST55417,BRG0002,2022-02-01,2,EPM,APOTEK TAPAK,Aceh,Apotek,ALERGINE TABLET SALUT,ETIKAL,112000,25,2800000
IN6063-BRG0003,IN6063,CUST55417,BRG0003,2022-02-01,2,EPM,APOTEK TAPAK,Aceh,Apotek,AMPICILLIN,MARCKS,17000,14,238000
IN6063-BRG0005,IN6063,CUST55417,BRG0005,2022-02-01,2,EPM,APOTEK TAPAK,Aceh,Apotek,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,24,1128000
IN6063-BRG0006,IN6063,CUST55417,BRG0006,2022-02-01,2,EPM,APOTEK TAPAK,Aceh,Apotek,KETOCONAZOLE TABLET 200 MG,OGB & PH,39000,10,390000
IN6063-BRG0004,IN6063,CUST55417,BRG0004,2022-02-01,2,EPM,APOTEK TAPAK,Aceh,Apotek,TRAMADOL KAPSUL 50 MG,VNS,24500,21,514500
IN6063-BRG0009,IN6063,CUST55417,BRG0009,2022-02-01,2,EPM,APOTEK TAPAK,Aceh,Apotek,AMBROXOL HC,VNS,31000,10,310000
IN6064-BRG0005,IN6064,CUST55380,BRG0005,2022-02-02,2,EPM,APOTEK TAPAK,Aceh,Apotek,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,24,1128000
IN6064-BRG0006,IN6064,CUST55515,BRG0006,2022-01-28,1,EPM,APOTEK TAPAK,Aceh,Apotek,KETOCONAZOLE TABLET 200 MG,OGB & PH,39000,10,390000
IN6064-BRG0004,IN6064,CUST55380,BRG0004,2022-02-02,2,EPM,APOTEK TAPAK,Aceh,Apotek,TRAMADOL KAPSUL 50 MG,VNS,24500,24,588000
IN6065-BRG0005,IN6065,CUST55474,BRG0005,2022-01-23,1,TD,KLINIK SAHABAT,Tangerang,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,4,188000
IN6066-BRG0009,IN6066,CUST55538,BRG0009,2022-01-27,1,TA,APOTEK MAJA,Kuningan,Apotek,AMBROXOL HC,VNS,31000,12,372000
IN6067-BRG0005,IN6067,CUST55704,BRG0005,2022-05-01,5,TA,KLINIK GM,Jakarta,Klinik,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,SLCYL,47000,14,658000
IN6068-BRG0007,IN6068,CUST55536,BRG0007,2022-01-31,1,EPM,APOTEK SAHABAT,Padang,Apotek,ERGOTAMINE COFFEINE,ETIKAL,64700,6,388200
IN6069-BRG0002,IN6069,CUST55571,BRG0002,2022-03-01,3,TD,KLINIK SAHABAT,Tangerang,Klinik,ALERGINE TABLET SALUT,ETIKAL,112000,4,448000
IN6070-BRG0006,IN6070,CUST55485,BRG0006,2022-01-28,1,EPM,APOTEK TAPAK,Aceh,Apotek,KETOCONAZOLE TABLET 200 MG,OGB & PH,39000,23,897000
IN6071-BRG0007,IN6071,CUST55636,BRG0007,2022-04-27,4,TA,APOTEK MAJA,Kuningan,Apotek,ERGOTAMINE COFFEINE,ETIKAL,64700,95,6146500
IN6072-BRG0008,IN6072,CUST55477,BRG0008,2022-02-01,2,EPM,APOTEK TAPAK,Aceh,Apotek,TETRACYCLINE KAPSUL 250 MG,MARCKS,9800,1,9800
IN6073-BRG0009,IN6073,CUST55628,BRG0009,2022-04-27,4,TA,APOTEK MAJA,Kuningan,Apotek,AMBROXOL HC,VNS,31000,34,1054000
IN6074-BRG0003,IN6074,CUST55472,BRG0003,2022-01-27,1,TA,KLINIK GM,Jakarta,Klinik,AMPICILLIN,MARCKS,17000,98,1666000
